State,Participants,F_Participants,Population,Rel_Participation,Rel_F_Participation
Australian Capital Territory,37634,7441,470000,80.07234,15.831915
Queensland,268415,31239,5528000,48.555535,5.651049
New South Wales,723153,104144,8435000,85.732424,12.346651
Northern Territory,19050,1495,254000,75,5.885827
South Australia,114253,8879,1866000,61.228832,4.758307
Tasmania,29806,5244,575000,51.836522,9.12
Victoria,355180,22670,6906000,51.43064,3.282653
Western Australia,163338,9634,2928000,55.784836,3.290301
