"","Country","Clubs","Domestic","Foreign","Players","Continent","Population","longitude","latitude"
"112","Uganda",31,96,4,991,"Africa",51384894,32.34371768,1.282172922
"113","Ukraine",42,87,13,1288,"Europe",38980376,31.27377208,48.65753252
"114","United Arab Emirates",14,68,32,530,"Asia",11346000,54.27920526,24.18250292
"115","United Kingdom",92,34,66,5582,"Europe",69551332,-2.852943909,53.97844735
"116","United States",103,49,51,2791,"North America",347275807,-96.33161661,38.82080892
"117","Uruguay",30,90,10,516,"South America",3384688,-56.01919523,-32.78195044
"118","Uzbekistan",25,83,17,611,"Asia",37053428,63.85482976,41.48790652
"119","Venezuela",31,88,12,505,"South America",28516896,-66.36492136,7.148324761
"120","Vietnam",24,88,12,770,"Asia",101598527,105.9133883,16.51734717
"121","Zambia",18,NA,NA,NA,"Africa",21913874,27.75521363,-13.16283295
"122","Zimbabwe",18,NA,NA,NA,"Africa",16950795,29.71782964,-18.92700122
